name	team	pos	opp	proj	status
Jahmyr Gibbs	DET	RB	NO	22.5	QUES
Puka Nacua	LAR	WR	SF	21.7	
Jalen Hurts	PHI	QB	WSH	20.6	
Ashton Jeanty	LV	RB	MIA	20.5	
Ja'Marr Chase	CIN	WR	TB	20.4	
Bijan Robinson	ATL	RB	@PIT	19.7	
Amon-Ra St. Brown	DET	WR	NO	19.5	
Jaxon Smith-Njigba	SEA	WR	NE	19.4	
Omarion Hampton	LAC	RB	ARI	19.2	
Josh Allen	BUF	QB	@HOU	19.0	
Christian McCaffrey	SF	RB	@LAR	19.0	
Jaxson Dart	NYG	QB	DAL	18.6	
Justin Herbert	LAC	QB	ARI	18.5	
De'Von Achane	MIA	RB	@LV	18.4	
Lamar Jackson	BAL	QB	@IND	18.4	
Jonathan Taylor	IND	RB	BAL	18.2	
Saquon Barkley	PHI	RB	WSH	18.1	
Joe Burrow	CIN	QB	TB	17.7	
Justin Jefferson	MIN	WR	GB	17.5	
Matthew Stafford	LAR	QB	SF	17.4	
Dak Prescott	DAL	QB	@NYG	16.9	
Breece Hall	NYJ	RB	@TEN	16.8	
Jeremiyah Love	ARI	RB	@LAC	16.6	
Caleb Williams	CHI	QB	@CAR	16.5	
Trevor Lawrence	JAX	QB	CLE	16.5	
Jayden Daniels	WAS	QB	@PHI	16.4	
Chase Brown	CIN	RB	TB	16.4	
Derrick Henry	BAL	RB	@IND	16.3	
Josh Jacobs	GB	RB	@MIN	16.2	
Bo Nix	DEN	QB	@KC	16.1	
Nico Collins	HOU	WR	BUF	16.0	
Kyler Murray	MIN	QB	GB	16.0	
C.J. Stroud	HOU	QB	BUF	15.9	
Jared Goff	DET	QB	NO	15.9	
Javonte Williams	DAL	RB	@NYG	15.9	
Brock Bowers	LV	TE	MIA	15.8	
Baker Mayfield	TB	QB	@CIN	15.6	
Drake Maye	NE	QB	@SEA	15.5	
Drake London	ATL	WR	@PIT	15.4	
James Cook III	BUF	RB	@HOU	15.3	
Rashee Rice	KC	WR	DEN	15.3	
Cam Skattebo	NYG	RB	DAL	15.2	
Brock Purdy	SF	QB	@LAR	15.2	
Kenneth Walker III	SEA	RB	DEN	15.1	
